Finance,Auditor General,Transportation and Communications,3749000
Finance,Auditor General,Information,622000
Finance,Auditor General,Professional and Special Services,4949000
Finance,Auditor General,Rentals,1075000
Finance,Auditor General,Repair and Maintenance,189000
Finance,Auditor General,Utilities, Materials and Supplies,322000
Finance,Auditor General,Acquistion of Machinery and Equipment,814000
Finance,Canadian International Trade Tribunal,Personnel,8701000
Finance,Canadian International Trade Tribunal,Transportation and Communications,204000
Finance,Canadian International Trade Tribunal,Information,33000
Finance,Canadian International Trade Tribunal,Professional and Special Services,554000
Finance,Canadian International Trade Tribunal,Rentals,124000
Finance,Canadian International Trade Tribunal,Repair and Maintenance,1122000
Finance,Canadian International Trade Tribunal,Utilities, Materials and Supplies,74000
Finance,Canadian International Trade Tribunal,Acquistion of Machinery and Equipment,691000
Finance,Financial Consumer Agency of Canada,Personnel,7750000
Finance,Financial Consumer Agency of Canada,Transportation and Communications,400000
Finance,Financial Consumer Agency of Canada,Information,364000
Finance,Financial Consumer Agency of Canada,Professional and Special Services,3184000
Finance,Financial Consumer Agency of Canada,Rentals,874000
Finance,Financial Consumer Agency of Canada,Repair and Maintenance,1000
Finance,Financial Consumer Agency of Canada,Utilities, Materials and Supplies,56000
Finance,Financial Consumer Agency of Canada,Acquistion of Machinery and Equipment,203000
Finance,Financial Transactions and Reports Analysis Centre of Canada,Personnel,37838000
Finance,Financial Transactions and Reports Analysis Centre of Canada,Transportation and Communications,1139000
Finance,Financial Transactions and Reports Analysis Centre of Canada,Information,185000
Finance,Financial Transactions and Reports Analysis Centre of Canada,Professional and Special Services,4165000
Finance,Financial Transactions and Reports Analysis Centre of Canada,Rentals,6246000
Finance,Financial Transactions and Reports Analysis Centre of Canada,Repair and Maintenance,1682000
Finance,Financial Transactions and Reports Analysis Centre of Canada,Utilities, Materials and Supplies,452000
Finance,Financial Transactions and Reports Analysis Centre of Canada,Acquistion of Machinery and Equipment,1985000
Finance,Office of the Superintendent of Financial Institutions,Personnel,94657000
Finance,Office of the Superintendent of Financial Institutions,Transportation and Communications,4365000
Finance,Office of the Superintendent of Financial Institutions,Information,1052000
Finance,Office of the Superintendent of Financial Institutions,Professional and Special Services,12461000
Finance,Office of the Superintendent of Financial Institutions,Rentals,9070000
Finance,Office of the Superintendent of Financial Institutions,Repair and Maintenance,352000
Finance,Office of the Superintendent of Financial Institutions,Utilities, Materials and Supplies,455000
