Ministry,Department,Item,Value
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Investment Fund,1486938
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Investment Fund,130000
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Investment Fund,1140000
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Investment Fund,485000
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Investment Fund,243900
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,206000
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,136998
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,100000
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,299979
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,810021
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,150000
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,670000
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,250000
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,314970
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,203850
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,100000
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,200000
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,151700
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,248000
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,150000
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,166000
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,483078
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,947000
Canadian Heritage,Canadian Heritage,Contributions to the Canada Cultural Spaces Fund,363586
Canadian Heritage,Canadian Heritage,"Grants to organizations, associations and institutions to promote the full recognition and use of the official languages in Canadian society through the Enhancement of Official Languages Program",395793
Canadian Heritage,Canadian Heritage,"Grants to organizations, associations and institutions to promote the vitality and long-term development of official-language minority communities through the Development of Official-Language Communities Program",128593
Canadian Heritage,Canadian Heritage,"Grants to organizations, associations and institutions to promote the vitality and long-term development of official-language minority communities through the Development of Official-Language Communities Program",7299124
Canadian Heritage,Canadian Heritage,"Grants to organizations, associations and institutions to promote the vitality and long-term development of official-language minority communities through the Development of Official-Language Communities Program",110000
Canadian Heritage,Canadian Heritage,"Grants to organizations, associations and institutions to promote the vitality and long-term development of official-language minority communities through the Development of Official-Language Communities Program",104900
Canadian Heritage,Canadian Heritage,Grants to the Canada Arts Presentation Fund,8440812
Canadian Heritage,Canadian Heritage,Grant to TV5 Monde,6375084
Canadian Heritage,Canadian Heritage,Grants to Micha?lle Jean Foundation,557232
Canadian Heritage,Canadian Heritage,Grants to the Hnatyshyn Foundation,2500000
Canadian Heritage,Canadian Heritage,Supplementary Retirement Benefits - Former Lieutenant-Governors,203907
Canadian Heritage,Canadian Heritage,Payments under the Lieutenant-Governors Superannuation Act,892551
Canadian Heritage,Canadian Heritage,Contributions in support of the Celebration and Commemoration Program,120000
Canadian Heritage,Canadian Heritage,Contributions in support of the Celebration and Commemoration Program,164618
Canadian Heritage,Canadian Heritage,Contributions in support of the Celebration and Commemoration Program,200000
Canadian Heritage,Canadian Heritage,Contributions in support of the Celebration and Commemoration Program,100000
Canadian Heritage,Canadian Heritage,Contributions in support of the Celebration and Commemoration Program,139895
Canadian Heritage,Canadian Heritage,Contributions in support of the Celebration and Commemoration Program,335000
Canadian Heritage,Canadian Heritage,Contributions in support of the Celebration and Commemoration Program,120000
Canadian Heritage,Canadian Heritage,Contributions in support of the Celebration and Commemoration Program,270000
Canadian Heritage,Canadian Heritage,Contributions in support of the Celebration and Commemoration Program,136875
Canadian Heritage,Canadian Heritage,Contributions in support of the Celebration and Commemoration Program,185000
Canadian Heritage,Canadian Heritage,Contributions in support of the Celebration and Commemoration Program,872468
Canadian Heritage,Canadian Heritage,Contributions in support of the Celebration and Commemoration Program,3985233
Canadian Heritage,Canadian Heritage,Contributions in support of the Celebration and Commemoration Program,140000
Canadian Heritage,Canadian Heritage,Contributions in support of the Celebration and Commemoration Program,180000
Canadian Heritage,Canadian Heritage,Contributions in support of the Celebration and Commemoration Program,5000000
Canadian Heritage,Canadian Heritage,Contributions in support of the Celebration and Commemoration Program,638525
Canadian Heritage,Canadian Heritage,Contributions in support of the Celebration and Commemoration Program,174387
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,214279
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,409406
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,1121809
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,109581
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,129680
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,197659
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,426573
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,215428
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,164495
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,104016
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,575951
Canadian Heritage,Canadian Heritage,Grants under the museums assistance program,296930
Canadian Heritage,Canadian Heritage,Grants under the museums assistance program,1719257
Canadian Heritage,Canadian Heritage,Grants under the museums assistance program,120000
Canadian Heritage,Canadian Heritage,Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties,147372
Canadian Heritage,Canadian Heritage,Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties,62947
Canadian Heritage,Canadian Heritage,Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties,73762
Canadian Heritage,Canadian Heritage,Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties,77590
Canadian Heritage,Canadian Heritage,Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties,95000
Canadian Heritage,Canadian Heritage,Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties,57071
Canadian Heritage,Canadian Heritage,Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties,75940
Canadian Heritage,Canadian Heritage,Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties,73758
Canadian Heritage,Canadian Heritage,Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties,64199
Canadian Heritage,Canadian Heritage,Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties,97814
Canadian Heritage,Canadian Heritage,Grants to the Athlete Assistance Program,156587
Canadian Heritage,Canadian Heritage,Grants to the Athlete Assistance Program,226985
Canadian Heritage,Canadian Heritage,Grants to the Athlete Assistance Program,26981345
Canadian Heritage,Canadian Heritage,Grants to the Canada Book Fund,1292381
Canadian Heritage,Canadian Heritage,Grants to the Canada Book Fund,229425
Canadian Heritage,Canadian Heritage,Grants to support the Aboriginal Peoples' Program,82604
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,322369
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,343389
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,101877
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,120857
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,114035
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,145064
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,155355
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,119938
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,115841
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,200426
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,415047
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,620808
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,114428
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,1054110
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,156852
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,8116230
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,531413
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,331241
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,246675
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,111421
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,101395
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,231671
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,101743
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,858982
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,102360
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,134630
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,225754
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,143084
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,626240
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,379809
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,180107
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,420976
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,1291371
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,687736
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,103418
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,1237065
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,302470
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,397059
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,165320
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,508552
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,139731
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,227452
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,690558
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,164181
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,116832
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,139492
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,246547
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,174239
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,282120
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,199648
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,3296236
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,126862
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,1057458
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,1183924
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,2022406
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,841150
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,314095
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,148749
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,397114
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,13247092
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,179086
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,390738
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,134923
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,292327
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,123466
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,116128
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,207449
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,4348280
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,3347890
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,196436
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,248334
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,106048
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,186491
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,141927
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,338310
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,123093
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,554027
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,124024
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,296121
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,1738026
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,447279
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,1947558
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,121509
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,410983
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,158637
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,275000
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,376200
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,1000000
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,300000
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,2000000
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,173018
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,473889
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,278452
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,100000
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,1694577
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,172039
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,300000
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,1215018
Canadian Heritage,Canadian Heritage,Grants in support of the Building Communities through Arts and Heritage Program,9636449
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,740155
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,1393299
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,357359
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,258983
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,243200
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,769683
Canadian Heritage,Canadian Heritage,Grants to support Canadian periodicals through the Canada Periodical Fund,6199946
Canadian Heritage,Canadian Heritage,Contributions to the Canada Music Fund,474208
Canadian Heritage,Canadian Heritage,Contributions to the Canada Music Fund,267627
Canadian Heritage,Canadian Heritage,Contributions to the Canada Music Fund,422872
Canadian Heritage,Canadian Heritage,Contributions to the Canada Music Fund,400274
Canadian Heritage,Canadian Heritage,Contributions to the Canada Music Fund,591654
Canadian Heritage,Canadian Heritage,Contributions to the Canada Music Fund,555209
Canadian Heritage,Canadian Heritage,Contributions to the Canada Music Fund,529736
Canadian Heritage,Canadian Heritage,"Contributions to non-profit cultural organizations and institutions to enhance cultural infrastructures and support cultural development : Contribution to Fathers of Confederation Building Trust, Charlottetown, PEI",3000000
Canadian Heritage,Canadian Heritage,Contributions in support of the Exchanges Canada Initiative,110000
Canadian Heritage,Canadian Heritage,Contributions in support of the Exchanges Canada Initiative,339000
Canadian Heritage,Canadian Heritage,Contributions in support of the Exchanges Canada Initiative,125000
Canadian Heritage,Canadian Heritage,Contributions in support of the Exchanges Canada Initiative,385000
Canadian Heritage,Canadian Heritage,Contributions in support of the Exchanges Canada Initiative,3425000
Canadian Heritage,Canadian Heritage,Contributions in support of the Exchanges Canada Initiative,166337
Canadian Heritage,Canadian Heritage,Contributions in support of the Exchanges Canada Initiative,430000
Canadian Heritage,Canadian Heritage,Contributions in support of the Exchanges Canada Initiative,101294
Canadian Heritage,Canadian Heritage,Contributions in support of the Exchanges Canada Initiative,4500000
Canadian Heritage,Canadian Heritage,Contributions in support of the Exchanges Canada Initiative,7980722
Canadian Heritage,Canadian Heritage,Contributions to support Canada Interactive Fund,106122
Canadian Heritage,Canadian Heritage,Contributions to the Canada Music Fund,292207
Canadian Heritage,Canadian Heritage,Contributions to the Canada Music Fund,1044254
Canadian Heritage,Canadian Heritage,Contributions to the Canada Music Fund,415783
Canadian Heritage,Canadian Heritage,Contributions to the Canada Media Fund,134146077
Canadian Heritage,Canadian Heritage,Contributions to the Canada Book Fund,166255
Canadian Heritage,Canadian Heritage,Contributions to the Canada Book Fund,127934
Canadian Heritage,Canadian Heritage,Grants in support of the Celebration and Commemoration Program,6449660
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Spaces Fund,1616070
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Spaces Fund,100000
Canadian Heritage,Canadian Heritage,Grants to the Canada Cultural Investment Fund,1001157
Canadian Heritage,Canadian Heritage,Contributions to the Canada Book Fund,357218
Canadian Heritage,Canadian Heritage,Contributions to support of the Youth Take Charge Program,276831
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,453000
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,265000
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,132500
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,234444
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,340000
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,1477426
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,302513
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,435708
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,318355
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,291557
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,746777
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,108053
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,310655
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,498127
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,389705
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,3436406
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,137065
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,624323
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,1058690
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,996795
Canadian Heritage,Canadian Heritage,Contributions to support Canada Interactive Fund,362636
Canadian Heritage,Canadian Heritage,Contributions to support Canada Interactive Fund,365472
Canadian Heritage,Canadian Heritage,Contributions to support Canada Interactive Fund,268134
Canadian Heritage,Canadian Heritage,Contributions to support Canada Interactive Fund,122210
Canadian Heritage,Canadian Heritage,Contributions to support Canada Interactive Fund,152181
Canadian Heritage,Canadian Heritage,Contributions to support Canada Interactive Fund,117972
Canadian Heritage,Canadian Heritage,Contributions to support Canada Interactive Fund,205959
Canadian Heritage,Canadian Heritage,Contributions in support of the Court Challenges Program,495000
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,120000
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,354700
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,157986
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,833950
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,1900000
Canadian Heritage,Canadian Heritage,Contributions to support the Aboriginal Peoples' Program,1100000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,135000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,264744
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,950000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,624000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,117000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,331245
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,246000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,209000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,150005
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,110000
Canadian Heritage,Canadian Heritage,Contributions in support of the Canadian Studies Program,341250
Canadian Heritage,Canadian Heritage,Contributions in support of the Canadian Studies Program,400000
Canadian Heritage,Canadian Heritage,Contributions in support of the Canadian Studies Program,1000000
Canadian Heritage,Canadian Heritage,Contributions in support of the Canadian Studies Program,1000000
Canadian Heritage,Canadian Heritage,Contributions in support of the Canadian Studies Program,1475995
Canadian Heritage,Canadian Heritage,Contributions in support of the Canadian Studies Program,360000
Canadian Heritage,Canadian Heritage,Contributions in support of the Canadian Studies Program,155797
Canadian Heritage,Canadian Heritage,Contributions in support of the Canadian Studies Program,165000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,285000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,453298
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,155800
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,790150
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,787630
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,242400
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,725000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,150000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,100000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,100000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,470000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,105000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,101000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,100000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,347500
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,135438
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,110000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,128000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,201500
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,106000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,250000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,287904
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,100000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,114000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,544153
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,180000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,124000
Canadian Heritage,Canadian Heritage,Contributions to support Canada Interactive Fund,177020
Canadian Heritage,Canadian Heritage,Contributions to support Canada Interactive Fund,104351
Canadian Heritage,Canadian Heritage,Contributions to support Canada Interactive Fund,150362
Canadian Heritage,Canadian Heritage,Contributions to support the Enhancement of Official Languages Program,189290
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,331902
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,130000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,350000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,130000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,101000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,155000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,175000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,133000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,300000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,173000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,200000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,213101
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,604000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,212000
Canadian Heritage,Canadian Heritage,Contributions to support the Development of Official-Language Communities Program,247000
